Second Stage - Example Festival - Master Patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PINK,12,USC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLUE,12,FLOAT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN ,12,MSL
Day 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORANGE,12,MSR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YELLOW,12,DSC
,,,Copper Wren,,45,Tin Chapel,,HR,The Ledger,,HR,Salt Harbour,,,ACT 5,,,ACT 6,,,ACT 7,,,ACT 8,,,ACT 9,,,ACT 10,,,ACT 11,,,ACT 12,,,ACT 13,,,ACT 14,,,ACT 15,,,ACT 16,,,,
,,,17:00 - 18:00,,,18:45 - 19:45,,,20:45 - 21:45,,,22:45 - 00:15,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,,
,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,,
CH,INPUT,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,INPUT,,
1,KICK IN,1,,VIOLIN-1-1 4099,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,KICK IN,,
2,KICK OUT,2,,VIOLIN 1-2 4099,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,KICK OUT,,
3,SNR T,3,,VIOLIN 2-1 184,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,SNR T,,
4,SNR B,4,,VIOLIN 2-2 184,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,SNR B,,
5,HATS,5,,VIOLA-1 4099,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,5,,,HATS,,
6,TOM 1,6,,VIOLA-2 4099,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,6,,,TOM 1,,
7,TOM 2,7,,CELLO-1 4099,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,7,,,TOM 2,,
8,TOM 3 ,8,,CELLO-2 4099,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,8,,,TOM 3 ,,
9,TOM 4 ,9,,DBL BASS 4099,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,9,,,TOM 4 ,,
