Riverside Weekender - Master Patch,,,,,,,,,,,,,,,,,,,,,,,PINK,12,USC
,,,,,,,,,,,,,,,,,,,,,,,BLUE,12,FLOAT
,,,,,,,,,,,,,,,,,,,,,,,GREEN ,12,MSL
Day 1,,,,,,,,,,,,,,,,,,,,,,,ORANGE,12,MSR
,,,,,,,,,,,,,,,,,,,,,,,YELLOW,12,DSC
,,,THE HARBOUR LIGHTS,,,MARGOT DUNN,,,FALSE ECONOMY,,,KESTREL,,,NINE BELOW,,,ACT 6,,,ACT 7,,,,
,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,Start - End,,,,
,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,SPEC:,,,,
CH,INPUT,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,CH,SUB-BOX,MIC / DI:,INPUT,,
1,KICK IN,1, BSNAKE 1,/,1, BSNAKE 1,BEYER,1, BSNAKE 1,BEYER,1, BSNAKE 1,/,1, BSNAKE 1,/,1,,,1,,,KICK IN,,
2,SNARE TOP,2,BSNAKE 2,/,2,BSNAKE 2,SM 57,2,BSNAKE 2,SM 57,2,BSNAKE 2,/,2,BSNAKE 2,/,2,,,2,,,SNARE TOP,,
3,RACK 1,3,BSNAKE 3,/,3,BSNAKE 3,KIT MIC,3,BSNAKE 3,KIT MIC,3,BSNAKE 3,/,3,BSNAKE 3,/,3,,,3,,,RACK 1,,
4,RACK 2,4,BSNAKE 4,/,4,BSNAKE 4,KIT MIC,4,BSNAKE 4,KIT MIC,4,BSNAKE 4,/,4,BSNAKE 4,/,4,,,4,,,RACK 2,,
5,FLOOR,5,BSNAKE 5,/,5,BSNAKE 5,KIT MIC,5,BSNAKE 5,KIT MIC,5,BSNAKE 5,/,5,BSNAKE 5,/,5,,,5,,,FLOOR,,
6,OH L,6,BSNAKE 6,/,6,BSNAKE 6,UAD,6,BSNAKE 6,UAD,6,BSNAKE 6,/,6,BSNAKE 6,/,6,,,6,,,OH L,,
7,OH R,7,BSNAKE 7,/,7,BSNAKE 7,UAD,7,BSNAKE 7,UAD,7,BSNAKE 7,/,7,BSNAKE 7,/,7,,,7,,,OH R,,
8,BASS,8,BSNAKE 8,DI,8,BSNAKE 8,DI,8,BSNAKE 8,DI,8,BSNAKE 8,DI,8,BSNAKE 8,/,8,,,8,,,BASS,,
9,INST 1,9,FSNAKE 1,DI/ sE V7,9,FSNAKE 1,v7,9,FSNAKE 1,DI,9,FSNAKE 1,/,9,FSNAKE 1,/,9,,,9,,,INST 1,,
10,INST 2,10,FSNAKE 2,DI/ sE v7,10,FSNAKE 2,v7,10,FSNAKE 2,DI,10,FSNAKE 2,sE v7,10,FSNAKE 2,/,10,,,10,,,INST 2,,
11,EL GTR L,11,FSNAKE 3,XLR,11,FSNAKE 3,SM 57,11,FSNAKE 3,/,11,FSNAKE 3,FENDER DI,11,FSNAKE 3,FENDER DI,11,,,11,,,EL GTR L,,
12,EL GTR R,12,FSNAKE 4,XLR,12,FSNAKE 4,FENDER DI,12,FSNAKE 4,XLR,12,FSNAKE 4,SM57,12,FSNAKE 4,/,12,,,12,,,EL GTR R,,
13,KEYS L,13,FSNAKE 5,/,13,FSNAKE 5,DI,13,FSNAKE 5,/,13,FSNAKE 5,/,13,FSNAKE 5,DI,13,,,13,,,KEYS L,,
14,KEYS R,14,FSNAKE 6,/,14,FSNAKE 6,DI,14,FSNAKE 6,/,14,FSNAKE 6,/,14,FSNAKE 6,DI,14,,,14,,,KEYS R,,
